"","geodis","category","bray_all","category1"
"1",5.793799764,"Local",0.402371541501976,"Local"
"2",17.38139916,"Local",0.758102766798419,"Local"
"3",40.56773932,"Local",0.813438735177866,"Local"
"4",86.92927553,"Local",0.890513833992095,"Local"
"5",1.158759957,"Local",0.75098814229249,"Local"
"6",1.260658811,"Local",0.156521739130435,"Local"
"7",3.196050289,"Local",0.762055335968379,"Local"
"8",8.0273551,"Local",0.822134387351779,"Local"
"9",37.74919805,"Local",0.839525691699605,"Local"
"10",11.58759939,"Local",0.641897233201581,"Local"
"11",34.77393956,"Local",0.763241106719368,"Local"
"12",81.13547577,"Local",0.836758893280632,"Local"
"13",6.95255972,"Local",0.596837944664032,"Local"
"14",6.970267072,"Local",0.436363636363636,"Local"
"15",7.563736751,"Local",0.637549407114624,"Local"
"16",10.5562253,"Local",0.794071146245059,"Local"
"17",38.3666468,"Local",0.775889328063241,"Local"
"18",23.18634016,"Local",0.558102766798419,"Local"
"19",69.54787637,"Local",0.78498023715415,"Local"
"20",18.54015912,"Local",0.504347826086956,"Local"
"21",18.54680666,"Local",0.795256916996047,"Local"
"22",18.77790072,"Local",0.545059288537549,"Local"
"23",20.17011421,"Local",0.638735177865613,"Local"
"24",42.04049885,"Local",0.785375494071146,"Local"
"25",46.36153621,"Local",0.755731225296443,"Local"
"26",41.72649928,"Local",0.691699604743083,"Local"
"27",41.7294534,"Local",0.828853754940711,"Local"
"28",41.83267687,"Local",0.711462450592885,"Local"
"29",42.47584198,"Local",0.638339920948617,"Local"
"30",56.25634077,"Local",0.799209486166008,"Local"
"31",88.08803549,"Local",0.830434782608696,"Local"
"32",88.08943488,"Local",0.88695652173913,"Local"
"33",88.13838109,"Local",0.85098814229249,"Local"
"34",88.44545897,"Local",0.763636363636364,"Local"
"35",95.82898992,"Local",0.773517786561265,"Local"
"36",0.496523838,"Local",0.78300395256917,"Local"
"37",2.978591946,"Local",0.500395256916996,"Local"
"38",7.943279243,"Local",0.68695652173913,"Local"
"39",37.73140302,"Local",0.740711462450593,"Local"
"40",2.482068108,"Local",0.803557312252964,"Local"
"41",7.446755405,"Local",0.835177865612648,"Local"
"42",37.23487919,"Local",0.833596837944664,"Local"
"43",4.964687297,"Local",0.722529644268775,"Local"
"44",34.75281108,"Local",0.75098814229249,"Local"
"45",29.78812378,"Local",0.690118577075099,"Local"
"46",5.793438916,"Local",0.494071146245059,"Local"
"47",40.56521267,"Local",0.621343873517787,"Local"
"48",86.92386136,"Local",0.614229249011858,"Local"
"49",1.15868779,"Local",0.56600790513834,"Local"
"50",1.26306086,"Local",0.4300395256917,"Local"
"51",3.23090445,"Local",0.518181818181818,"Local"
"52",8.126040351,"Local",0.642687747035573,"Local"
"53",18.13410188,"Local",0.521343873517787,"Local"
"54",38.22269037,"Local",0.711857707509881,"Local"
"55",34.77177376,"Local",0.632806324110672,"Local"
"56",81.13042245,"Local",0.633596837944664,"Local"
"57",6.952126705,"Local",0.575098814229249,"Local"
"58",6.970282022,"Local",0.535177865612648,"Local"
"59",7.57814398,"Local",0.526086956521739,"Local"
"60",10.63118722,"Local",0.629644268774704,"Local"
"61",19.38648171,"Local",0.516600790513834,"Local"
"62",38.83253608,"Local",0.682213438735178,"Local"
"63",46.35864869,"Local",0.56798418972332,"Local"
"64",41.72390046,"Local",0.631225296442688,"Local"
"65",41.72692941,"Local",0.590118577075099,"Local"
"66",41.83276414,"Local",0.560474308300395,"Local"
"67",42.49205285,"Local",0.619762845849802,"Local"
"68",45.47956202,"Local",0.625691699604743,"Local"
"69",56.57323935,"Local",0.541106719367589,"Local"
"70",88.08254915,"Local",0.578260869565217,"Local"
"71",88.083984,"Local",0.605138339920949,"Local"
"72",88.13416968,"Local",0.6,"Local"
"73",88.4490077,"Local",0.591699604743083,"Local"
"74",89.92244586,"Local",0.608300395256917,"Local"
"75",96.0114646,"Local",0.598814229249012,"Local"
"76",0.502757658,"Local",0.490513833992095,"Local"
"77",3.01598795,"Local",0.465217391304348,"Local"
"78",8.043006533,"Local",0.592094861660079,"Local"
"79",18.0970437,"Local",0.391699604743083,"Local"
"80",38.20511803,"Local",0.680237154150198,"Local"
"81",2.513230292,"Local",0.451778656126482,"Local"
"82",7.540248875,"Local",0.631225296442688,"Local"
"83",17.59428604,"Local",0.499604743083004,"Local"
"84",37.70236037,"Local",0.690909090909091,"Local"
"85",5.027018583,"Local",0.601185770750988,"Local"
"86",15.08105575,"Local",0.439920948616601,"Local"
"87",35.18913008,"Local",0.646245059288538,"Local"
"88",10.05403717,"Local",0.614229249011858,"Local"
"89",30.1621115,"Local",0.562055335968379,"Local"
"90",20.10807433,"Local",0.714229249011858,"Local"
"91",5.793484798,"Local",0.814624505928854,"Local"
"92",17.38045426,"Local",0.810671936758893,"Local"
"93",40.56553394,"Local",0.781422924901186,"Local"
"94",86.92454978,"Local",0.786166007905138,"Local"
"95",1.158696965,"Local",0.291699604743083,"Local"
"96",1.262755687,"Local",0.260474308300395,"Local"
"97",3.226493555,"Local",0.758893280632411,"Local"
"98",18.10578349,"Local",0.773517786561265,"Local"
"99",38.16281072,"Local",0.826086956521739,"Local"
"100",11.58696946,"Local",0.860079051383399,"Local"
"101",34.77204914,"Local",0.59802371541502,"Local"
"102",81.13106498,"Local",0.785375494071146,"Local"
"103",6.952181764,"Local",0.821739130434783,"Local"
"104",6.970280119,"Local",0.884584980237154,"Local"
"105",7.576313585,"Local",0.695256916996047,"Local"
"106",19.36001451,"Local",0.703162055335968,"Local"
"107",38.77360782,"Local",0.811857707509881,"Local"
"108",23.18507968,"Local",0.795256916996047,"Local"
"109",69.54409553,"Local",0.68695652173913,"Local"
"110",18.53915122,"Local",0.805138339920949,"Local"
"111",18.54594572,"Local",0.890513833992095,"Local"
"112",18.78211524,"Local",0.75098814229249,"Local"
"113",25.88780572,"Local",0.773122529644269,"Local"
"114",42.41184429,"Local",0.770355731225296,"Local"
"115",46.35901585,"Local",0.720553359683794,"Local"
"116",41.7242309,"Local",0.787351778656126,"Local"
"117",41.72725033,"Local",0.873122529644269,"Local"
"118",41.83275303,"Local",0.673517786561265,"Local"
"119",45.46858098,"Local",0.624901185770751,"Local"
"120",56.53304352,"Local",0.756916996047431,"Local"
"121",88.08324675,"Local",0.73596837944664,"Local"
"122",88.08467708,"Local",0.873122529644269,"Local"
"123",88.13470516,"Local",0.616600790513834,"Local"
"124",89.91742255,"Local",0.674308300395257,"Local"
"125",95.98828175,"Local",0.761264822134387,"Local"
"126",0.501969309,"Local",0.364426877470356,"Local"
"127",3.011258732,"Local",0.711462450592885,"Local"
"128",18.06866664,"Local",0.740711462450593,"Local"
"129",38.14521052,"Local",0.822134387351779,"Local"
"130",2.509289423,"Local",0.849802371541502,"Local"
"131",17.56669733,"Local",0.863636363636364,"Local"
"132",37.64324122,"Local",0.88498023715415,"Local"
"133",15.05740791,"Local",0.571936758893281,"Local"
"134",35.13395179,"Local",0.694071146245059,"Local"
"135",20.07654388,"Local",0.720553359683794,"Local"
"136",5.795573543,"Local",0.671541501976285,"Local"
