,Class,variable,value,group
1,c__Agaricomycetes,CX1_H01,0.109651405,CX
2,c__Agaricostilbomycetes,CX1_H01,0.073881374,CX
3,c__Archaeorhizomycetes,CX1_H01,0,CX
4,c__Arthoniomycetes,CX1_H01,0.000650364,CX
5,c__Ascomycota_Incertae sedis,CX1_H01,0.076873049,CX
6,c__Basidiomycota_Incertae sedis,CX1_H01,0.000260146,CX
7,c__Chytridiomycetes,CX1_H01,0.018730489,CX
8,c__Cystobasidiomycetes,CX1_H01,0.000260146,CX
9,c__Dacrymycetes,CX1_H01,0,CX
10,c__Dothideomycetes,CX1_H01,0.063475546,CX
11,c__Entomophthoromycotina_Incertae sedis,CX1_H01,0.000780437,CX
12,c__Eurotiomycetes,CX1_H01,0.041623309,CX
13,c__Exobasidiomycetes,CX1_H01,0.002861602,CX
14,c__Glomeromycetes,CX1_H01,0.013007284,CX
15,c__Kickxellomycotina_Incertae sedis,CX1_H01,0.004682622,CX
16,c__Lecanoromycetes,CX1_H01,0.006893861,CX
17,c__Leotiomycetes,CX1_H01,0.002471384,CX
18,c__Microbotryomycetes,CX1_H01,0.020031217,CX
19,c__Monoblepharidomycetes,CX1_H01,0.001430801,CX
20,c__Mucoromycotina_Incertae sedis,CX1_H01,0.066727367,CX
21,c__Neocallimastigomycetes,CX1_H01,0.002341311,CX
22,c__Neolectomycetes,CX1_H01,0,CX
23,c__Orbiliomycetes,CX1_H01,0,CX
24,c__Pezizomycetes,CX1_H01,0.197450572,CX
25,c__Pezizomycotina_Incertae sedis,CX1_H01,0.014568158,CX
26,c__Pucciniomycetes,CX1_H01,0.004162331,CX
27,c__Saccharomycetes,CX1_H01,0.023283039,CX
28,c__Sordariomycetes,CX1_H01,0.195239334,CX
29,c__Taphrinomycetes,CX1_H01,0,CX
30,c__Tremellomycetes,CX1_H01,0.053980229,CX
31,c__Ustilaginomycetes,CX1_H01,0.001560874,CX
32,c__Ustilaginomycotina_Incertae sedis,CX1_H01,0.000260146,CX
33,c__Wallemiomycetes,CX1_H01,0,CX
34,c__Zoopagomycotina_Incertae sedis,CX1_H01,0.001690947,CX
35,c__Zygomycetes,CX1_H01,0.001170656,CX
36,c__Agaricomycetes,CX1_H06,0.124975476,CX
37,c__Agaricostilbomycetes,CX1_H06,0.008240141,CX
38,c__Archaeorhizomycetes,CX1_H06,0.001177163,CX
39,c__Arthoniomycetes,CX1_H06,0.00255052,CX
40,c__Ascomycota_Incertae sedis,CX1_H06,0.122032568,CX
41,c__Basidiomycota_Incertae sedis,CX1_H06,0,CX
42,c__Chytridiomycetes,CX1_H06,0.030802433,CX
43,c__Cystobasidiomycetes,CX1_H06,0,CX
44,c__Dacrymycetes,CX1_H06,0,CX
45,c__Dothideomycetes,CX1_H06,0.057484795,CX
46,c__Entomophthoromycotina_Incertae sedis,CX1_H06,0.000784775,CX
47,c__Eurotiomycetes,CX1_H06,0.110849519,CX
48,c__Exobasidiomycetes,CX1_H06,0.006278203,CX
49,c__Glomeromycetes,CX1_H06,0.005493428,CX
50,c__Kickxellomycotina_Incertae sedis,CX1_H06,0.003531489,CX
51,c__Lecanoromycetes,CX1_H06,0.009024917,CX
52,c__Leotiomycetes,CX1_H06,0.007847754,CX
53,c__Microbotryomycetes,CX1_H06,0.033156759,CX
54,c__Monoblepharidomycetes,CX1_H06,0.000196194,CX
55,c__Mucoromycotina_Incertae sedis,CX1_H06,0.089464391,CX
